sentence,relation,head,tail,head_offset,tail_offset
初始化表现出克鲁斯卡尔算法的特性,attr,初始化,克鲁斯卡尔算法,0,6
在数据结构中，叶子节点和单源最短路径表示相同的概念,syno,叶子节点,单源最短路径,7,12
连通分量的实现基于二项堆,b-rely,二项堆,连通分量,9,0
在算法中，穷举法和后序遍历执行相反的功能,anto,穷举法,后序遍历,5,9
线段树由指针等部分构成,b-belg,指针,线段树,4,0
在数据结构中，数据类型和队列表示相同的概念,syno,数据类型,队列,7,12
哈希表是全局最优的重要属性,attr,全局最优,哈希表,4,0
快速排序依赖于B树,b-rely,B树,快速排序,7,0
后继节点由线性结构等部分构成,b-belg,线性结构,后继节点,5,0
循环队列是快速排序的重要属性,b-attr,循环队列,快速排序,0,5
实现表尾时需要依赖删除,b-rely,删除,表尾,9,2
在索引存储中包含了AC自动机,b-belg,AC自动机,索引存储,9,1
指针表现出深度优先搜索的特性,attr,指针,深度优先搜索,0,5
稳定性包含跳跃表,b-belg,跳跃表,稳定性,5,0
B+树和顺序访问是对立的概念,anto,B+树,顺序访问,0,4
散列文件依赖于入栈,b-rely,入栈,散列文件,7,0
头节点包含无序序列,b-belg,无序序列,头节点,5,0
平衡因子与空间复杂度具有相反的作用,anto,平衡因子,空间复杂度,0,5
在插入排序中包含了动态规划,b-belg,动态规划,插入排序,9,1
索引存储需要使用Ω记号,rely,索引存储,Ω记号,0,8
邻接表是稳定性的重要属性,attr,稳定性,邻接表,4,0
实现桶排序时需要依赖多路归并,rely,桶排序,多路归并,2,10
散列存储具有前驱节点属性,attr,散列存储,前驱节点,0,6
线性查找和循环链表是对立的概念,anto,线性查找,循环链表,0,5
在算法中，循环链表和初始化执行相反的功能,anto,循环链表,初始化,5,10
全局最优与递归复杂度具有相反的作用,anto,全局最优,递归复杂度,0,5
链式存储的实现基于边,rely,链式存储,边,0,9
Bellman-Ford算法的实现基于内部排序,rely,Bellman-Ford算法,内部排序,0,19
后缀树依赖于链式存储,rely,后缀树,链式存储,0,6
递归由重叠子问题等部分构成,belg,递归,重叠子问题,0,3
局部最优是图的边的组成部分,belg,图的边,局部最优,5,0
旋转表现出父节点的特性,attr,旋转,父节点,0,5
树由稳定排序等部分构成,belg,树,稳定排序,0,2
