topic,pure_time,kg_time,pure_len,kg_len,pure_sim,kg_sim,pure_rouge_l,kg_rouge_l,pure_bleu,kg_bleu,pure_entity_recall,kg_entity_recall,total_entities
循环链表,10.87978720664978,21.262284755706787,1589,3800,0.4286750775969599,0.516311165150914,0.25078369411306894,0.4724770598119898,0.04490864351893597,0.11817195124929654,1,8,17
希尔排序,10.354373931884766,18.950372219085693,1197,2041,0.33405713996271064,0.4839086702637155,0.15319148665061116,0.26666666435555564,0.01732155425899241,0.03649764897780369,1,6,6
线性表,8.33503007888794,9.759117603302002,783,1111,0.024643056386652977,0.12456771969625449,0.0,0.009756097463890542,0.0004134403868441879,0.0008933156665952598,4,8,23
栈,14.81778597831726,21.490684032440186,1248,2830,0.4970970401233734,0.7170759536018225,0.3276836113019886,0.4784482719861029,0.046446746499980734,0.14185644701600914,8,12,36
后缀树,10.979485750198364,15.1423180103302,1001,2157,0.5148206021335873,0.6460932195982833,0.30409356227608497,0.5904761857710885,0.06976410226394279,0.23012582711128177,1,8,21
单链表,11.486186265945435,16.630223274230957,1823,2288,0.3737744339616257,0.6678834102149696,0.26595744196256793,0.47013486986920905,0.02447126322899553,0.21587747389777182,1,8,20
迪杰斯特拉算法,12.656039237976074,9.756457328796387,1505,1251,0.28346899415982746,0.5188296982424887,0.13008129848998617,0.2869565192812855,0.012529358340246453,0.055721934589401355,2,8,8
哈希表,15.776361227035522,16.750062704086304,1980,2167,0.386443562410586,0.6510936025137946,0.27727272234803724,0.6231578899123768,0.0425794441553088,0.27081264611693373,3,9,28
线段树,23.771982431411743,16.04716444015503,3185,2074,0.4449865858171381,0.754852552062834,0.30569947718757556,0.5320196998558568,0.0208723384712136,0.23848821942449605,2,10,21
拓扑排序,15.435050010681152,13.215776205062866,2198,1510,0.16540554672983052,0.5505294768692868,0.2710622681168404,0.35636363343497524,0.018345669346835028,0.06715748875216167,0,7,7
广度优先搜索,8.092944622039795,18.20877718925476,1077,2014,0.3458026639352958,0.5642076933633848,0.28440366590691024,0.3130434755414409,0.036445827188285984,0.06222943222125956,1,9,11
冒泡排序,7.689860105514526,8.194268465042114,933,991,0.1244040014624244,0.39287484611551643,0.13265305877551023,0.2842639569522534,0.002719789583580678,0.0545743879741968,0,8,8
平衡二叉树,18.44930410385132,21.3013436794281,2216,2570,0.4935347630063011,0.7086214172854558,0.29670329190994454,0.48034934065092205,0.034847871632678454,0.1720491585206437,2,10,16
归并排序,12.979074239730835,14.140541791915894,1619,1736,0.3388875398737874,0.3782438888931856,0.17796609941288424,0.2530612222793836,0.010619209365731108,0.029997294050798203,1,7,7
直接插入排序,9.335483074188232,20.613107681274414,1025,2259,0.31743474257831056,0.4283494979116056,0.18433179434602562,0.2657342634299966,0.0211505440439911,0.0364296113936495,2,8,8
回溯法,13.158815145492554,11.141649723052979,1765,1323,0.14463720076956432,0.5265945816575377,0.24603174275636183,0.3763837607363735,0.0107728318008168,0.08816910870024448,0,4,4
堆,17.742608308792114,24.40714430809021,2406,2771,0.4625005750695345,0.6399358321706601,0.3631436265244821,0.501043836887043,0.029442956700153837,0.15008815896111158,3,10,44
最小生成树,20.8388512134552,25.835022687911987,1723,414,0.31975972363266936,0.4857418541716549,0.20074349184007959,0.5736434065164353,0.010848685949144104,0.21145134933047652,0,5,5
双向链表,13.808070659637451,28.666332006454468,2477,682,0.359811157644681,0.5588403825130741,0.3230240501132486,0.7148594327530202,0.00852446380307308,0.4662130925029094,2,8,19
分治,14.407461881637573,13.533851385116577,1251,1619,0.4005008015690417,0.47334289561732873,0.22480619893035278,0.2877697817090213,0.02312810522031733,0.04889845026868264,1,7,7
动态规划,8.837717056274414,19.235172510147095,803,2115,0.4036479662526523,0.4825074112012907,0.2727272697520661,0.2539682517510708,0.03392978907119045,0.03383136833952366,0,8,8
普里姆算法,17.038634777069092,14.89271855354309,2074,1676,0.41349144200256494,0.4387658316510191,0.20155038442491438,0.3736263705880933,0.005879412315869295,0.06360736133276217,1,6,6
弗洛伊德算法,14.024997234344482,7.1600587368011475,1519,773,0.0,0.07451653623955232,0.0,0.014925372986188462,0.0,0.00041792844861282693,0,8,8
B树,14.437541961669922,20.215903520584106,1204,2366,0.5258742912185163,0.67678219560746,0.33846153365141357,0.6144329853122755,0.04571794208120692,0.20560889657989695,2,8,25
Dijkstra算法,16.102345943450928,17.752822875976562,1572,2129,0.16837715488774618,0.3192638408286324,0.1518987318414072,0.2302158253009679,0.009860577994079337,0.030635320227950135,1,9,9
插入排序,7.851834058761597,10.255775451660156,879,1072,0.19982040161773293,0.47319398122101564,0.2198952849647762,0.3349282268766741,0.014389907156182491,0.06214063055329656,1,10,16
树,17.084621906280518,10.857960224151611,1224,1037,0.0,0.0,0.0,0.0,0.0,0.0,5,10,46
数组,7.646996021270752,16.654572248458862,682,2160,0.36853379377893764,0.6418215380508446,0.32278480512738345,0.5694117600593496,0.04373671147090111,0.16848437114455705,3,9,33
堆排序,15.0861074924469,12.215054750442505,1712,1254,0.2955791858293319,0.5368436727590146,0.1587301565724994,0.28971962369071536,0.014707090390095854,0.06091967516729187,1,6,6
二叉树,13.807409763336182,15.158610343933105,1225,2042,0.5818198917890145,0.7298213846588516,0.3351955257301583,0.5763440813380507,0.0659872345020526,0.23433109280827924,3,11,30
链表,12.115937948226929,21.96883773803711,1930,4164,0.0,0.0,0.0,0.0,0.0,0.0,6,11,46
克鲁斯卡尔算法,15.417514085769653,23.608203411102295,1874,2404,0.375879528979712,0.421025846067737,0.17667844241281577,0.3380281662051181,0.005646348318651024,0.03620244262864352,1,8,8
插值查找,10.31738018989563,22.55340266227722,1231,2653,0.14686317334432467,0.20888424243117884,0.20657276696158178,0.26712328535677426,0.011667426165929293,0.027297988390179696,1,7,7
字典树,14.347047805786133,21.368462324142456,1253,2552,0.4264461339034701,0.672331442972042,0.29629629135228586,0.5062240618363149,0.04251405498103874,0.2046622323028236,3,9,24
深度优先搜索,11.29657769203186,20.03036069869995,1412,2684,0.35193677269457835,0.4848438733652589,0.28571428213189415,0.296703294176428,0.022557780943464056,0.04198031909807697,0,7,7
队列,15.063865423202515,7.715544939041138,1659,815,0.0,0.0,0.0,0.0,0.0,0.0,4,9,42
红黑树,22.84549570083618,26.38603687286377,1938,697,0.429206201856055,0.6801454453995004,0.3116883070890875,0.7499999950010205,0.03323208499683199,0.479501054892192,0,9,16
树状数组,13.204474925994873,26.837432384490967,1281,662,0.4547653566068775,0.6325412350425517,0.35672514119900145,0.6319218191768614,0.05149751643257531,0.40718873015561385,0,8,19
B+树,13.592211246490479,5.3997015953063965,1139,547,0.0,0.0,0.0,0.0,0.0,0.0,3,9,26
基数排序,14.51558256149292,17.29875898361206,1269,1790,0.1357334345220838,0.5414952963380781,0.1634615348599298,0.3208191098426307,0.016704744337703845,0.06069432644101887,2,6,6
快速排序,10.058650732040405,14.740833282470703,1081,1716,0.30852591273474383,0.411662132712172,0.1772151870675996,0.2675585261104462,0.004989013083380775,0.04730168853997805,1,6,6
穷举法,6.274572372436523,15.392299890518188,473,1891,0.2355357822281465,0.30206046657589436,0.13953487997093034,0.26708074302746815,0.005735657212278954,0.04965437485786656,0,6,6
优先队列,8.585875749588013,19.025797843933105,726,2398,0.43322853349258317,0.729513901317914,0.18181817689324953,0.4822694996750667,0.0474752423358122,0.177202337473656,3,9,24
二叉搜索树,11.473613739013672,19.111122131347656,966,2295,0.6037555190241976,0.7072709691643042,0.23361822862736514,0.5303643678053238,0.09408708806198425,0.21891185589258577,1,8,21
KMP算法,27.886120557785034,8.233526229858398,2595,1010,0.12089410886928613,0.4342351219852429,0.27777777442558305,0.3796296262774349,0.0053342824520470865,0.1087186472422068,1,6,6
贪心策略,15.489604473114014,12.605501174926758,1280,1510,0.46191190010437905,0.5062592543652006,0.1752265836660856,0.2960526289648979,0.03199395425027365,0.07178090046579358,0,7,7
图,13.409222602844238,19.792587280273438,1251,2354,0.4206188743237187,0.6691846853639488,0.0,0.5409252621169313,0.06196256895493432,0.2227927368352433,3,9,18
小根堆,14.260322093963623,16.810944318771362,1666,2207,0.46743807105063023,0.6279198261865853,0.3778337484113217,0.5491071383594747,0.06236916700137478,0.21041981833946416,4,11,22
选择排序,9.928555727005005,8.927274703979492,1158,994,0.3413682373983186,0.42648307680707426,0.18884119916373482,0.33653845873936766,0.012879770936489947,0.0807958408305761,0,8,8
大根堆,25.95500135421753,26.43129062652588,2378,717,0.38171287117138664,0.6461608766293794,0.34010151788914944,0.5678233389242604,0.01982367402354699,0.38767428111944224,2,9,24
